id,dispName,excToken,lot,tick,asset,freezeQty,weekly,undId
OPTIDX_BANKEX_BFO_2026-02-26_60100_PE,BANKEX 26FEB 60100 PE,1167895,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_60200_CE,BANKEX 26FEB 60200 CE,1168592,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_60200_PE,BANKEX 26FEB 60200 PE,1162714,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_60300_CE,BANKEX 26FEB 60300 CE,1166806,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_60300_PE,BANKEX 26FEB 60300 PE,1168332,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_60400_CE,BANKEX 26FEB 60400 CE,1169070,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_60400_PE,BANKEX 26FEB 60400 PE,1163208,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_60500_CE,BANKEX 26FEB 60500 CE,1167328,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_60500_PE,BANKEX 26FEB 60500 PE,1168808,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_60600_CE,BANKEX 26FEB 60600 CE,1162047,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_60600_PE,BANKEX 26FEB 60600 PE,1167041,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_60700_CE,BANKEX 26FEB 60700 CE,1167745,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_60700_PE,BANKEX 26FEB 60700 PE,1161809,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_60800_CE,BANKEX 26FEB 60800 CE,1165934,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_60800_PE,BANKEX 26FEB 60800 PE,1167521,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_60900_CE,BANKEX 26FEB 60900 CE,1168163,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_60900_PE,BANKEX 26FEB 60900 PE,1162285,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_61000_CE,BANKEX 26FEB 61000 CE,1165130,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_61000_PE,BANKEX 26FEB 61000 PE,1166707,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_61100_CE,BANKEX 26FEB 61100 CE,1163263,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_61100_PE,BANKEX 26FEB 61100 PE,1164848,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_61200_CE,BANKEX 26FEB 61200 CE,1165637,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_61200_PE,BANKEX 26FEB 61200 PE,1167212,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_61300_CE,BANKEX 26FEB 61300 CE,1163754,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_61300_PE,BANKEX 26FEB 61300 PE,1165362,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_61400_CE,BANKEX 26FEB 61400 CE,1166077,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_61400_PE,BANKEX 26FEB 61400 PE,1163499,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_61500_CE,BANKEX 26FEB 61500 CE,1164250,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_61500_PE,BANKEX 26FEB 61500 PE,1165857,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_61600_CE,BANKEX 26FEB 61600 CE,1162334,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_61600_PE,BANKEX 26FEB 61600 PE,1163977,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_61700_CE,BANKEX 26FEB 61700 CE,1164684,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_61700_PE,BANKEX 26FEB 61700 PE,1166298,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_61800_CE,BANKEX 26FEB 61800 CE,1162826,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_61800_PE,BANKEX 26FEB 61800 PE,1164460,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_61900_CE,BANKEX 26FEB 61900 CE,1165189,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_61900_PE,BANKEX 26FEB 61900 PE,1162559,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_62000_CE,BANKEX 26FEB 62000 CE,1161998,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_62000_PE,BANKEX 26FEB 62000 PE,1163652,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_62100_CE,BANKEX 26FEB 62100 CE,1167691,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_62100_PE,BANKEX 26FEB 62100 PE,1161767,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_62200_CE,BANKEX 26FEB 62200 CE,1162493,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_62200_PE,BANKEX 26FEB 62200 PE,1167477,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_62300_CE,BANKEX 26FEB 62300 CE,1168126,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_62300_PE,BANKEX 26FEB 62300 PE,1162226,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_62400_CE,BANKEX 26FEB 62400 CE,1166352,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_62400_PE,BANKEX 26FEB 62400 PE,1167900,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_62500_CE,BANKEX 26FEB 62500 CE,1168596,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_62500_PE,BANKEX 26FEB 62500 PE,1162716,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_62600_CE,BANKEX 26FEB 62600 CE,1166810,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_62600_PE,BANKEX 26FEB 62600 PE,1168341,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_62700_CE,BANKEX 26FEB 62700 CE,1169076,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_62700_PE,BANKEX 26FEB 62700 PE,1166553,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_62800_CE,BANKEX 26FEB 62800 CE,1167333,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_62800_PE,BANKEX 26FEB 62800 PE,1168810,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_62900_CE,BANKEX 26FEB 62900 CE,1165484,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_62900_PE,BANKEX 26FEB 62900 PE,1167045,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_63000_CE,BANKEX 26FEB 63000 CE,1166481,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_63000_PE,BANKEX 26FEB 63000 PE,1163924,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_63100_CE,BANKEX 26FEB 63100 CE,1164632,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_63100_PE,BANKEX 26FEB 63100 PE,1166250,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_63200_CE,BANKEX 26FEB 63200 CE,1162766,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_63200_PE,BANKEX 26FEB 63200 PE,1164410,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_63300_CE,BANKEX 26FEB 63300 CE,1165135,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_63300_PE,BANKEX 26FEB 63300 PE,1166714,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_63400_CE,BANKEX 26FEB 63400 CE,1163269,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_63400_PE,BANKEX 26FEB 63400 PE,1164856,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_63500_CE,BANKEX 26FEB 63500 CE,1165643,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_63500_PE,BANKEX 26FEB 63500 PE,1162990,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_63600_CE,BANKEX 26FEB 63600 CE,1163759,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_63600_PE,BANKEX 26FEB 63600 PE,1165367,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_63700_CE,BANKEX 26FEB 63700 CE,1161862,30,0.05,option,900,,IDX_-94_BSE
