trade_id,symbol,buy_reason,entry_price,exit_price,quantity,lot_size,entry_time,exit_time,realized_pnl
PAPER-1772357991,SENSEX 05MAR 81200 PE,"NRCB, BB12, BB13, Green",156.15,195.8,900,10,2026-03-01 15:09:51.781899,2026-03-01 15:09:52.828945,356850.00000000006
PAPER-1772357994,SENSEX 05MAR 81200 PE,"BB1, CBB0, CBB6, CBB8, Green",212.3,209.0,900,10,2026-03-01 15:09:54.360282,2026-03-01 15:09:54.597235,-29700.000000000102
PAPER-1772357994,SENSEX 05MAR 81200 PE,"BB1, Green",218.8,208.8,900,10,2026-03-01 15:09:54.600261,2026-03-01 15:09:54.836481,-90000.0
PAPER-1772357995,SENSEX 05MAR 81200 PE,CBBR2,201.85,196.3,900,10,2026-03-01 15:09:55.426027,2026-03-01 15:09:55.667060,-49949.99999999985
PAPER-1772357995,SENSEX 05MAR 81200 PE,CBBR2,207.6,198.9,900,10,2026-03-01 15:09:55.669656,2026-03-01 15:09:55.788386,-78299.9999999999
PAPER-1772357995,SENSEX 05MAR 81200 PE,CBBR2,207.6,203.15,900,10,2026-03-01 15:09:55.790555,2026-03-01 15:09:55.909576,-40049.9999999999
PAPER-1772357995,SENSEX 05MAR 81200 PE,CBBR2,207.6,202.2,900,10,2026-03-01 15:09:55.911892,2026-03-01 15:09:56.149549,-48600.00000000005
PAPER-1772357996,SENSEX 05MAR 81200 PE,"CBB0, CBB2, CBB5, CBB7",214.4,236.5,900,10,2026-03-01 15:09:56.976393,2026-03-01 15:09:57.686220,198899.99999999994
PAPER-1772357999,SENSEX 05MAR 81200 PE,"CBBR2, CBBR7",229.0,215.75,900,10,2026-03-01 15:09:59.240859,2026-03-01 15:09:59.362537,-119250.0
PAPER-1772357999,SENSEX 05MAR 81200 PE,"CBBR2, CBBR7",229.0,215.7,900,10,2026-03-01 15:09:59.365160,2026-03-01 15:09:59.487046,-119700.0000000001
PAPER-1772357999,SENSEX 05MAR 81200 PE,"CBBR2, CBBR7",229.0,216.6,900,10,2026-03-01 15:09:59.489534,2026-03-01 15:09:59.610897,-111600.00000000006
PAPER-1772357999,SENSEX 05MAR 81200 PE,"CBBR2, CBBR7",229.0,217.45,900,10,2026-03-01 15:09:59.613237,2026-03-01 15:09:59.736016,-103950.0000000001
PAPER-1772357999,SENSEX 05MAR 81200 PE,"CBBR2, CBBR7",229.0,219.15,900,10,2026-03-01 15:09:59.738640,2026-03-01 15:09:59.860427,-88649.99999999994
PAPER-1772358005,SENSEX 05MAR 81200 PE,"BB6, BB8, CBB0, CBB8",240.55,234.15,900,10,2026-03-01 15:10:05.337848,2026-03-01 15:10:05.962641,-57600.00000000005
PAPER-1772358006,SENSEX 05MAR 81200 PE,CBBR2,234.25,226.05,900,10,2026-03-01 15:10:06.594054,2026-03-01 15:10:07.489939,-73799.9999999999
PAPER-1772358008,SENSEX 05MAR 81200 PE,NRCB,237.5,228.4,900,10,2026-03-01 15:10:08.893180,2026-03-01 15:10:09.540456,-81899.99999999994
PAPER-1772358011,SENSEX 05MAR 81200 PE,NRCB,224.35,216.95,900,10,2026-03-01 15:10:11.591542,2026-03-01 15:10:11.721508,-66600.00000000006
PAPER-1772358012,SENSEX 05MAR 81200 PE,NRCB,212.85,204.5,900,10,2026-03-01 15:10:12.381722,2026-03-01 15:10:12.644604,-75149.99999999994
PAPER-1772358012,SENSEX 05MAR 81200 PE,NRCB,215.2,200.2,900,10,2026-03-01 15:10:12.647331,2026-03-01 15:10:12.780207,-135000.0
PAPER-1772358012,SENSEX 05MAR 81200 PE,NRCB,215.2,191.4,900,10,2026-03-01 15:10:12.783008,2026-03-01 15:10:12.914079,-214199.99999999985
PAPER-1772358012,SENSEX 05MAR 81200 PE,NRCB,215.2,187.45,900,10,2026-03-01 15:10:12.916629,2026-03-01 15:10:13.047581,-249750.0
PAPER-1772358017,SENSEX 05MAR 81200 PE,"BB13, Green",173.4,169.05,900,10,2026-03-01 15:10:17.302047,2026-03-01 15:10:17.440536,-39149.99999999995
PAPER-1772358017,SENSEX 05MAR 81200 PE,"BB13, Green",173.4,167.7,900,10,2026-03-01 15:10:17.443070,2026-03-01 15:10:17.845814,-51300.00000000015
PAPER-1772358020,SENSEX 05MAR 81200 PE,"BB12, BB17, CBB0, CBB2, CBB6, CBB7, Green",243.05,229.95,900,10,2026-03-01 15:10:20.262849,2026-03-01 15:10:20.399358,-117900.0000000002
PAPER-1772358020,SENSEX 05MAR 81200 PE,"BB12, BB17, CBB0, CBB2, CBB6, CBB7, Green",243.05,237.05,900,10,2026-03-01 15:10:20.401751,2026-03-01 15:10:20.541011,-54000.0
PAPER-1772358020,SENSEX 05MAR 81200 PE,"BB12, BB17, CBB0, CBB2, CBB6, CBB7, Green",243.05,247.2,900,10,2026-03-01 15:10:20.544223,2026-03-01 15:10:20.954331,37349.999999999796
PAPER-1772358022,SENSEX 05MAR 81200 PE,"BB8, BB12, Green",274.05,277.05,900,10,2026-03-01 15:10:22.988798,2026-03-01 15:10:23.126184,27000.0
PAPER-1772358023,SENSEX 05MAR 81200 PE,"BB8, BB12, CBBR3, Green",291.15,275.9,900,10,2026-03-01 15:10:23.128836,2026-03-01 15:10:23.266754,-137250.0
PAPER-1772358023,SENSEX 05MAR 81200 PE,"NRCB, BB8, BB12, CBBR3, Green",291.15,267.55,900,10,2026-03-01 15:10:23.268830,2026-03-01 15:10:23.407218,-212399.99999999968
PAPER-1772358023,SENSEX 05MAR 81200 PE,"NRCB, BB8, CBBR3, Green",291.15,250.9,900,10,2026-03-01 15:10:23.409916,2026-03-01 15:10:23.547901,-362249.99999999977
PAPER-1772358023,SENSEX 05MAR 81200 PE,"NRCB, BB8, CBBR3, Green",291.15,258.45,900,10,2026-03-01 15:10:23.550401,2026-03-01 15:10:23.687920,-294299.9999999999
PAPER-1772358024,SENSEX 05MAR 81200 PE,"BB1, BB9, BB10, BB11, BB17, CBB0, Green",273.85,263.05,900,10,2026-03-01 15:10:24.375747,2026-03-01 15:10:24.515784,-97200.0000000001
PAPER-1772358024,SENSEX 05MAR 81200 PE,"BB1, BB9, BB10, BB11, BB17, CBB0, CBB6, Green",281.3,280.65,900,10,2026-03-01 15:10:24.955691,2026-03-01 15:10:25.094106,-5850.000000000307
PAPER-1772358026,SENSEX 05MAR 81200 PE,"CBB0, CBB4",289.3,283.35,900,10,2026-03-01 15:10:26.889371,2026-03-01 15:10:27.031390,-53549.9999999999
PAPER-1772358027,SENSEX 05MAR 81200 PE,"CBB0, CBB4",289.3,292.45,900,10,2026-03-01 15:10:27.034564,2026-03-01 15:10:27.454672,28349.999999999796
PAPER-1772358028,SENSEX 05MAR 81200 PE,"BB13, CBBR5, Green",309.2,315.0,900,10,2026-03-01 15:10:28.582741,2026-03-01 15:10:29.029131,52200.0000000001
PAPER-1772358029,SENSEX 05MAR 81200 PE,"BB13, CBBR3, CBBR5, Green",327.6,316.6,900,10,2026-03-01 15:10:29.031543,2026-03-01 15:10:29.873105,-99000.0
PAPER-1772358030,SENSEX 05MAR 81200 PE,CBBR2,307.0,297.15,900,10,2026-03-01 15:10:30.720845,2026-03-01 15:10:30.865603,-88650.0000000002
PAPER-1772358030,SENSEX 05MAR 81200 PE,CBBR2,307.0,284.75,900,10,2026-03-01 15:10:30.868626,2026-03-01 15:10:31.011433,-200250.0
PAPER-1772358031,SENSEX 05MAR 81200 PE,CBBR2,307.0,293.15,900,10,2026-03-01 15:10:31.013683,2026-03-01 15:10:31.158212,-124650.0000000002
PAPER-1772358031,SENSEX 05MAR 81200 PE,CBBR2,307.0,296.5,900,10,2026-03-01 15:10:31.161467,2026-03-01 15:10:31.305431,-94500.0
PAPER-1772358031,SENSEX 05MAR 81200 PE,CBBR2,307.0,286.0,900,10,2026-03-01 15:10:31.308789,2026-03-01 15:10:31.451713,-189000.0
PAPER-1772358032,SENSEX 05MAR 81200 PE,CBBR6,303.2,298.7,900,10,2026-03-01 15:10:32.307968,2026-03-01 15:10:33.179819,-40500.0
PAPER-1772358035,SENSEX 05MAR 81200 PE,CBBR2,295.8,289.65,900,10,2026-03-01 15:10:35.800812,2026-03-01 15:10:36.096616,-55350.000000000306
PAPER-1772358036,SENSEX 05MAR 81200 PE,CBBR2,296.55,287.95,900,10,2026-03-01 15:10:36.099614,2026-03-01 15:10:36.247813,-77400.0000000002
PAPER-1772358036,SENSEX 05MAR 81200 PE,CBBR2,296.55,280.0,900,10,2026-03-01 15:10:36.250744,2026-03-01 15:10:36.396267,-148950.00000000012
PAPER-1772358036,SENSEX 05MAR 81200 PE,CBBR2,296.55,288.95,900,10,2026-03-01 15:10:36.398543,2026-03-01 15:10:36.543429,-68400.0000000002
PAPER-1772358038,SENSEX 05MAR 81200 PE,"BB5, BB6, BB11, BB12, CBB0, CBB7",298.0,289.05,900,10,2026-03-01 15:10:38.431045,2026-03-01 15:10:38.578597,-80549.9999999999
PAPER-1772358038,SENSEX 05MAR 81200 PE,"BB5, BB6, BB11, CBB0, CBB7",298.0,328.7,900,10,2026-03-01 15:10:38.581326,2026-03-01 15:10:39.909880,276299.9999999999
